cenpe	NM_001327759	chr1	+	260011	296057	260090	295713	58	260011,260877,262698,263434,264300,264494,264800,264982,265794,266480,266935,267255,267899,268686,269303,269572,270286,270437,271012,271590,271758,272114,273578,273806,274441,275337,276136,276816,277007,277588,278219,278718,279737,280233,280517,281043,281586,282712,283298,283841,285261,285643,286029,286347,287083,287850,288108,288294,288770,289462,290260,290845,291653,292544,293398,293855,294243,295600,	260146,260984,262788,263553,264420,264576,264868,265057,265846,266568,267065,267375,268052,268834,269403,269930,270343,270647,271087,271659,271890,272292,273724,274079,274654,275478,276337,276918,277091,277861,278432,278787,279821,280356,280709,281244,281778,282892,283478,283979,285354,285727,286146,286515,287185,287931,288210,288477,288986,289669,290464,290992,291766,292642,293504,294136,294309,296057,
appa	NM_131564	chr1	-	617798	656820	621373	656693	16	617798,621564,622016,624539,625676,626547,628681,629585,630206,633233,634787,635669,635999,637358,638268,656633,	621475,621711,622099,624593,625872,626678,628840,629660,630340,633401,634996,635860,636112,637488,638436,656820,
f7i	NM_173228	chr1	+	127257	134079	127263	133723	8	127257,128804,129072,130897,131178,131859,132323,133112,	127324,128968,129097,131011,131316,131957,132444,134079,
si:ch73-41e3.7	NM_001145612	chr1	-	518852	524433	518880	522606	4	518852,520413,522168,524223,	519127,520637,522626,524433,
atp1a1a.4	NM_131689	chr1	+	1689793	1706159	1689849	1706063	22	1689793,1690011,1690217,1693968,1696389,1696587,1698728,1698917,1699267,1699662,1699878,1700162,1700621,1700826,1701061,1701310,1703098,1703895,1704132,1705606,1705795,1706034,	1689861,1690125,1690277,1694172,1696503,1696722,1698846,1699186,1699576,1699797,1700071,1700338,1700758,1700977,1701230,1701465,1703222,1704041,1704263,1705708,1705887,1706159,
gpc6a	NM_001109719	chr1	+	2712955	3036015	2713204	3035936	10	2712955,2789561,2884722,2915520,2965058,2977902,2980157,3023582,3030534,3035736,	2713361,2789720,2885114,2915686,2965189,2978049,2980187,3023713,3030710,3036015,
rap2ab	NM_001145705	chr1	+	2222365	2240119	2222365	2240119	2	2222365,2239881,	2222679,2240119,
pard3ba	NM_001328558	chr1	-	5798547	6028876	5798745	5982466	23	5798547,5817373,5840480,5853335,5855178,5855579,5876052,5882339,5901345,5910795,5912675,5918600,5932320,5939430,5954439,5956323,5963099,5966399,5969212,5982410,5991028,6024635,6028856,	5799085,5817444,5840589,5853599,5855286,5855621,5876236,5882555,5901390,5910908,5912805,5918730,5932494,5939616,5954565,5956463,5963527,5966525,5969299,5982502,5991129,6024804,6028876,
nrp2a	NM_212965	chr1	-	5606459	5746030	5608343	5745420	17	5606459,5612995,5627418,5631336,5631799,5638711,5640980,5651178,5652874,5654424,5671658,5675357,5678597,5681037,5706972,5728508,5745347,	5608648,5613055,5627451,5631430,5632059,5638873,5641064,5651323,5653224,5654569,5671814,5675527,5678753,5681268,5707154,5728686,5746030,
ndfip2	NM_213347	chr1	-	5354488	5394686	5363570	5394541	10	5354488,5355124,5356884,5363568,5365321,5365755,5369389,5375273,5378925,5394511,	5355096,5356849,5359003,5363674,5365388,5365880,5369477,5375404,5379088,5394686,
fn1b	NM_001013261	chr1	-	5504136	5543042	5505058	5542977	45	5504136,5506830,5507231,5507423,5509087,5509331,5509557,5511141,5511338,5511640,5511962,5512238,5512433,5512724,5513245,5513474,5513709,5513966,5514159,5515820,5516013,5519285,5519685,5519954,5521541,5521726,5522069,5524245,5524538,5524779,5526632,5526901,5528737,5531082,5532844,5533642,5536070,5536398,5536735,5537397,5538030,5540620,5540831,5542519,5542814,	5505136,5506920,5507338,5507549,5509249,5509470,5510045,5511231,5511527,5511730,5512145,5512326,5512621,5513024,5513359,5513630,5513883,5514083,5514426,5515910,5516202,5519480,5519772,5520123,5521636,5521990,5522348,5524440,5524628,5524908,5526809,5527070,5528850,5531223,5532973,5533795,5536247,5536581,5536933,5537559,5538168,5540752,5540969,5542645,5543042,
klf7a	NM_001020643	chr1	-	6403557	6494384	6405420	6494155	4	6403557,6416114,6429228,6494053,	6405472,6416238,6429811,6494384,
mxb	NM_001128672	chr1	-	7574350	7603573	7574446	7581932	12	7574350,7574755,7575531,7577259,7579270,7579493,7579699,7580667,7580941,7581173,7581826,7603535,	7574671,7575004,7575608,7577418,7579412,7579616,7579778,7580866,7581080,7581328,7581964,7603573,
radil	NM_001102569	chr1	-	7847765	7894255	7847942	7889644	16	7847765,7850647,7851203,7853112,7859466,7859737,7861497,7864559,7867509,7872221,7872532,7874520,7877945,7889109,7893713,7894121,	7848042,7850787,7851343,7853518,7859657,7859888,7861670,7864824,7867625,7872379,7872570,7875201,7878226,7889680,7894044,7894255,
actb1	NM_131031	chr1	-	8649101	8652677	8649602	8651608	6	8649101,8649828,8650096,8650846,8651485,8652578,	8649746,8650010,8650535,8651086,8651610,8652677,
prkcba	NM_201029	chr1	+	9004730	9064909	9004846	9064566	17	9004730,9005492,9028917,9032467,9038602,9044484,9044714,9046824,9047855,9051068,9051324,9052201,9053978,9056012,9056659,9056838,9064410,	9005007,9005524,9029000,9032579,9038731,9044641,9044849,9046921,9048002,9051242,9051416,9052264,9054117,9056093,9056767,9056979,9064909,
mad1l1	NM_200912	chr1	-	9740799	9858521	9741164	9856264	18	9740799,9784180,9793155,9804680,9808296,9808663,9813508,9820983,9833793,9847962,9850901,9851096,9851400,9852554,9853645,9855886,9856117,9858429,	9741326,9784371,9793360,9804771,9808388,9808720,9813649,9821128,9833880,9848024,9851016,9851227,9851482,9852679,9853825,9856027,9856278,9858521,
npy2rl	NM_001327802	chr1	+	10221567	10236768	10222731	10233879	5	10221567,10222672,10225695,10233549,10235206,	10221817,10223366,10225852,10233880,10236768,
pdia2	NM_001320534	chr1	+	9954484	9964765	9954532	9964632	11	9954484,9958321,9958620,9959646,9961055,9961309,9961524,9961804,9962325,9964297,9964566,	9954773,9958528,9958754,9959784,9961172,9961435,9961722,9961925,9962507,9964435,9964765,
dmd	NM_001326687	chr1	-	10824350	11075405	10824750	11075275	78	10824350,10828538,10834721,10841130,10847613,10849882,10853277,10855931,10858746,10858999,10861196,10863606,10866162,10873155,10875543,10877979,10893298,10893572,10897273,10900901,10901257,10904134,10905739,10912099,10914089,10914318,10916149,10918051,10918314,10918593,10925962,10928739,10930083,10930388,10930838,10932523,10932898,10934694,10935037,10941016,10943215,10944843,10946492,10948192,10948733,10949746,10950470,10950738,10952457,10952732,10958213,10958659,10963650,10964041,10964810,10966541,10969541,10973887,10985994,10986576,10988412,10993448,10993853,10997527,10997890,11001331,11001529,11001766,11011873,11016432,11016938,11020806,11021202,11024537,11028602,11029377,11031861,11075193,	10824848,10828631,10834842,10841374,10847772,10849948,10853343,10855970,10858883,10859111,10861363,10863764,10866248,10873357,10875618,10878041,10893359,10893648,10897420,10901170,10901375,10904291,10905912,10912289,10914244,10914530,10916267,10918218,10918396,10918674,10926112,10928871,10930231,10930564,10930962,10932669,10933009,10934865,10935190,10941151,10943332,10945014,10946615,10948372,10948904,10949902,10950644,10950849,10952619,10952885,10958348,10958842,10963821,10964197,10964924,10966754,10969687,10974068,10986236,10986664,10988536,10993621,10994033,10997635,10997992,11001451,11001680,11001948,11012065,11016567,11017117,11020925,11021375,11024630,11028680,11029470,11031923,11075405,
dmd	NM_131785	chr1	-	10824350	10885368	10826425	10885160	17	10824350,10826422,10828538,10834721,10841130,10847613,10849882,10853277,10858746,10858999,10861196,10863606,10866162,10873155,10875543,10877979,10885140,	10824848,10826448,10828631,10834836,10841374,10847772,10849948,10853343,10858883,10859111,10861363,10863764,10866248,10873357,10875618,10878041,10885368,
trpc5a	NM_001044827	chr1	-	10509576	10620345	10509958	10577937	7	10509576,10517454,10519364,10562989,10577550,10619976,10620230,	10510285,10517594,10519701,10563511,10577945,10620153,10620345,
gne	NM_200883	chr1	+	12295257	12334540	12308517	12333254	12	12295257,12308478,12314761,12318187,12322693,12323062,12325101,12325832,12327421,12329482,12329928,12333018,	12295307,12308687,12315216,12318340,12322906,12323150,12325312,12325962,12327643,12329665,12330045,12334540,
stra6l	NM_001089448	chr1	+	12177263	12190943	12178498	12190527	17	12177263,12178489,12178677,12180769,12181033,12181326,12181908,12182061,12182255,12183990,12184151,12184339,12184580,12186212,12186752,12187611,12190309,	12177433,12178590,12178808,12180890,12181079,12181455,12181976,12182173,12182412,12184066,12184233,12184388,12184698,12186332,12186916,12187758,12190943,
ttyh3b	NM_001037387	chr1	-	11785644	11850118	11785763	11849597	15	11785644,11788583,11790344,11794651,11798465,11798646,11798823,11803388,11804877,11808746,11809019,11814405,11832034,11849471,11849931,	11785937,11788659,11790524,11794788,11798558,11798739,11798879,11803464,11804950,11808842,11809240,11814517,11832204,11849618,11850118,
grk4	NM_001362619	chr1	-	11902578	11973377	11907746	11973071	16	11902578,11911744,11912842,11913084,11917925,11918219,11921845,11925167,11934696,11935660,11940698,11946964,11947219,11947762,11955106,11973019,	11907812,11911876,11912980,11913222,11918134,11918309,11921883,11925358,11934837,11935724,11940791,11947065,11947297,11947875,11955202,11973377,
grk4	NM_001079986	chr1	-	11902578	11973377	11911696	11973071	16	11902578,11911695,11912842,11913084,11917925,11918219,11921845,11925167,11934696,11935660,11940698,11946964,11947219,11947762,11955106,11973019,	11907812,11911876,11912980,11913222,11918134,11918309,11921883,11925358,11934837,11935724,11940791,11947065,11947297,11947875,11955202,11973377,
LOC553528	NM_001328067	chr1	-	14417785	14426804	14418512	14426727	8	14417785,14420952,14422480,14423710,14423929,14425940,14426172,14426673,	14418550,14421111,14422632,14423840,14423977,14425994,14426257,14426804,
ppp2r2ca	NM_001037394	chr1	+	14283694	14306840	14284344	14306159	11	14283694,14284073,14284220,14288447,14289922,14292924,14297018,14300774,14302738,14305570,14305855,	14283885,14284145,14284408,14288545,14290097,14293037,14297196,14300939,14302908,14305662,14306840,
hpf1	NM_001005769	chr1	+	14020444	14026781	14020483	14026025	8	14020444,14021136,14022157,14022459,14022678,14023249,14023466,14025890,	14020525,14021311,14022341,14022558,14022829,14023337,14023639,14026781,
pcm1	NM_001115123	chr1	+	16621344	16654161	16625677	16653461	41	16621344,16625661,16626485,16626974,16629817,16631700,16633307,16633564,16634014,16634370,16634620,16634949,16635216,16635533,16635731,16635969,16637850,16638088,16638370,16638696,16639392,16639703,16639967,16641584,16642022,16642618,16643437,16643669,16643998,16644854,16646189,16646369,16646671,16646957,16647838,16649929,16650164,16650345,16650624,16650952,16653435,	16621461,16625779,16626731,16627274,16629992,16631713,16633468,16633674,16634289,16634514,16634815,16635113,16635452,16635652,16635861,16636134,16638014,16638283,16638620,16638842,16639568,16639830,16640320,16641746,16642079,16642791,16643569,16643802,16644136,16644917,16646272,16646504,16646869,16647017,16647959,16650081,16650234,16650536,16650717,16651076,16654161,
tusc3	NM_001020560	chr1	+	16073886	16220235	16127824	16220126	10	16073886,16127821,16135485,16144614,16152804,16153559,16190462,16192162,16216327,16220110,	16074007,16127991,16135603,16144755,16152945,16153649,16190526,16192237,16216418,16220235,
fat1a	NM_212967	chr1	+	17376921	17522713	17379291	17522508	27	17376921,17379266,17412649,17435370,17445846,17449073,17451910,17479744,17480290,17481191,17486392,17487023,17491462,17496215,17497300,17498116,17498344,17500122,17505003,17506278,17507520,17509598,17510790,17511847,17513165,17515069,17521837,	17377021,17382550,17412964,17435432,17446176,17449284,17452050,17480020,17480501,17485262,17486589,17487177,17491696,17496605,17497515,17498254,17498488,17500320,17505826,17506410,17507678,17510055,17510944,17511958,17513812,17515207,17522713,
acsl1a	NM_001031837	chr1	-	17538583	17587552	17539648	17565870	21	17538583,17542049,17542888,17543447,17544510,17546567,17546773,17547038,17548709,17548939,17550751,17552629,17552942,17553895,17554028,17555183,17555392,17555943,17556115,17565675,17587501,	17539789,17542121,17542990,17543591,17544627,17546658,17546844,17547134,17548844,17549074,17550829,17552703,17552994,17553928,17554204,17555283,17555494,17556008,17556230,17565897,17587552,
klf3	NM_131859	chr1	-	18594145	18615063	18596206	18606291	7	18594145,18598561,18601119,18601505,18603749,18606261,18614880,	18596388,18598701,18601258,18601659,18604091,18606310,18615063,
ptprdb	NM_001166048	chr1	-	19123609	19215336	19123609	19215336	33	19123609,19124097,19127945,19128637,19130357,19130568,19132805,19137203,19141085,19144869,19147478,19152760,19157002,19157227,19159209,19161857,19162387,19163921,19169140,19169722,19179061,19179593,19182147,19182638,19188382,19188614,19191768,19193285,19195432,19205679,19209350,19209679,19215248,	19123678,19124233,19128100,19128763,19130484,19130747,19133091,19137358,19141205,19145045,19147602,19152858,19157118,19157239,19159370,19162067,19162481,19164178,19169238,19170376,19179179,19179620,19182341,19182941,19188524,19188757,19192350,19193555,19195543,19205865,19209492,19209825,19215336,
si:ch211-42i9.8	NM_001145618	chr1	+	19764994	19802602	19765044	19802602	19	19764994,19779123,19781698,19781909,19782094,19782276,19783462,19784222,19785146,19787872,19788087,19789865,19792290,19792704,19795864,19798781,19799704,19801123,19802523,	19765136,19779247,19781791,19782010,19782172,19782338,19783483,19784285,19785218,19788008,19788289,19789954,19792437,19792874,19796555,19798938,19799905,19801239,19802602,
tmem192	NM_001102393	chr1	+	19649527	19665550	19649616	19665027	6	19649527,19650215,19652070,19653796,19663908,19664903,	19649652,19650368,19652332,19653934,19664011,19665550,
rbm47	NM_001114686	chr1	-	19353047	19402802	19358098	19369361	7	19353047,19361164,19363874,19366019,19368668,19388084,19402582,	19358344,19361355,19364078,19366488,19369392,19388201,19402802,
limch1a	NM_001145577	chr1	+	18965749	19066327	18965969	19066153	22	18965749,18997484,18998546,18999013,19001954,19002067,19002257,19007161,19034357,19034577,19036318,19046330,19047657,19055454,19058473,19058637,19060229,19061430,19061778,19065510,19065690,19066127,	18966071,18997555,18998616,18999120,19001985,19002178,19002459,19007393,19034490,19034735,19036790,19046637,19047776,19055568,19058566,19058843,19060327,19061539,19061865,19065619,19065793,19066327,
ugt8	NM_001044325	chr1	-	20556066	20593778	20559583	20581907	6	20556066,20564672,20569542,20576354,20581082,20593625,	20559944,20564892,20569619,20576497,20581909,20593778,
gria2a	NM_131894	chr1	-	21333538	21409878	21336123	21409689	16	21333538,21336119,21337856,21341575,21344388,21345040,21345846,21346132,21352032,21352223,21352525,21355754,21355959,21367982,21409266,21409616,	21333581,21336369,21337971,21341823,21344587,21345408,21346053,21346240,21352137,21352391,21352684,21355808,21356156,21368222,21409407,21409878,
zcchc7	NM_001301358	chr1	-	21610248	21714027	21611958	21714004	9	21610248,21612617,21614741,21639192,21646581,21648580,21648888,21709396,21713942,	21612542,21612735,21614837,21639228,21646752,21648718,21648947,21710016,21714027,
pax5	NM_131638	chr1	+	21725820	21815554	21726304	21815554	11	21725820,21737317,21744977,21748778,21753233,21769387,21790344,21798672,21807143,21810843,21815471,	21726350,21737483,21745175,21748843,21753359,21769488,21790474,21798774,21807230,21810930,21815554,
ldb2b	NM_131315	chr1	-	22805397	22834824	22808684	22834685	9	22805397,22814840,22817744,22820241,22820468,22823219,22829270,22830739,22834553,	22808921,22814965,22817798,22820365,22820552,22823342,22829443,22830842,22834824,
pds5a	NM_200992	chr1	-	23323297	23370520	23323707	23369628	33	23323297,23329899,23330312,23330480,23330936,23331084,23331807,23332122,23332373,23334373,23334582,23334866,23335024,23337170,23337439,23337691,23338457,23339962,23340183,23341206,23341416,23341646,23341874,23342125,23342322,23342528,23342783,23342951,23343161,23343452,23343728,23369505,23370392,	23323711,23330237,23330388,23330632,23331005,23331204,23331940,23332237,23332578,23334497,23334719,23334935,23335183,23337294,23337600,23337797,23338573,23340102,23340232,23341288,23341530,23341798,23342020,23342220,23342438,23342669,23342864,23343078,23343259,23343539,23343932,23369667,23370520,
slit2	NM_131735	chr1	+	23784904	23908705	23784904	23908705	36	23784904,23786013,23788428,23794956,23848853,23849381,23850995,23853165,23853696,23858086,23858249,23861300,23862842,23864846,23867531,23870003,23870171,23870571,23873508,23873945,23874313,23875320,23876810,23877055,23879114,23879673,23883358,23888811,23889562,23897371,23897608,23897930,23902540,23902845,23903313,23908460,	23785062,23786085,23788500,23795028,23848925,23849453,23851067,23853329,23853829,23858158,23858321,23861372,23862986,23865010,23867682,23870078,23870315,23870715,23873675,23874078,23874382,23875392,23876882,23877127,23879278,23879798,23883456,23888951,23889656,23897509,23897849,23898061,23902695,23903134,23903522,23908705,
zgc:171517	NM_001111173	chr1	+	24376393	24380533	24376421	24380486	8	24376393,24376786,24377101,24378416,24378714,24380033,24380216,24380377,	24376449,24376899,24377194,24378513,24378855,24380142,24380300,24380533,
gucy1b1	NM_001251945	chr1	+	25801647	25841659	25801822	25841539	13	25801647,25802240,25803299,25803546,25804556,25811255,25812604,25813347,25814506,25827370,25832251,25839127,25841421,	25801825,25802314,25803400,25803665,25804754,25811486,25812721,25813481,25814704,25827608,25832392,25839282,25841659,
uso1	NM_200155	chr1	+	26467192	26507638	26467231	26507265	26	26467192,26467881,26473592,26473783,26474116,26476246,26476454,26480456,26480603,26480827,26484584,26487181,26487403,26489795,26491143,26495636,26496688,26497479,26497884,26498364,26498625,26501065,26501234,26504955,26505144,26507181,	26467297,26467968,26473657,26473860,26474128,26476347,26476557,26480512,26480724,26481006,26484725,26487270,26487558,26490001,26491164,26495747,26496807,26497661,26498006,26498503,26498789,26501125,26501333,26505051,26505360,26507638,
bnc2	NM_001327750	chr1	+	27053009	27209699	27053102	27208422	6	27053009,27113560,27159663,27169400,27195850,27207656,	27053240,27113815,27159766,27169636,27198159,27209699,
bnc2	NM_001327751	chr1	+	27024067	27209699	27024412	27208422	6	27024067,27113560,27159663,27169400,27195850,27207656,	27024415,27113815,27159766,27169636,27198159,27209699,
bnc2	NM_001327752	chr1	+	27112446	27209699	27113713	27208422	6	27112446,27113560,27159663,27169400,27195850,27207656,	27112763,27113815,27159766,27169636,27198159,27209699,
psip1a	NM_001020726	chr1	+	28089702	28195267	28145180	28195009	15	28089702,28145161,28160881,28161102,28163311,28163530,28176962,28177121,28177299,28191344,28191521,28191725,28191955,28194798,28194978,	28089761,28145252,28160958,28161241,28163395,28163626,28177025,28177200,28177393,28191394,28191580,28191827,28192154,28194895,28195267,
cryaa	NM_152950	chr1	+	29096906	29100918	29097011	29100159	3	29096906,29097648,29099952,	29097203,29097771,29100918,
gpm6ba	NM_203427	chr1	-	28959722	29045423	28962830	29045166	7	28959722,28963952,28964635,28964937,28979076,28986420,29045102,	28962983,28964018,28964709,28965106,28979233,28986607,29045423,
timmdc1	NM_001017828	chr1	-	28835505	28861163	28835630	28860725	8	28835505,28835866,28847656,28847883,28856127,28856352,28860504,28861086,	28835778,28835977,28847735,28847951,28856216,28856515,28860732,28861163,
alg11	NM_001161351	chr1	-	29750950	29758947	29752234	29758902	5	29750950,29754451,29756930,29757979,29758855,	29752518,29755029,29757302,29758201,29758947,
march4l	NM_001045411	chr1	-	29954689	30039331	29954795	30039115	4	29954689,29990771,29997564,30038659,	29955256,29990964,29997720,30039331,
vps8	NM_001080616	chr1	+	30083578	30310685	30083678	30310630	45	30083578,30084047,30085754,30085992,30087533,30087650,30089140,30089383,30089556,30092872,30095652,30100258,30103296,30103464,30108767,30118030,30118157,30118568,30128260,30132605,30160003,30160324,30162976,30166505,30166629,30175748,30176086,30178140,30178632,30178797,30180671,30180842,30183272,30186589,30200927,30204979,30212427,30212772,30218158,30239058,30250410,30255310,30270638,30282801,30310486,	30083750,30084116,30085885,30086089,30087566,30087705,30089265,30089470,30089624,30093026,30095712,30100366,30103377,30103635,30108842,30118066,30118248,30118615,30128350,30132652,30160226,30160414,30163028,30166548,30166702,30175868,30176158,30178260,30178689,30178880,30180756,30180941,30183362,30186636,30201078,30205069,30212610,30212854,30218241,30239139,30250580,30255479,30270692,30282882,30310685,
si:dkey-1h24.2	NM_001114714	chr1	-	29608127	29653475	29608287	29653195	5	29608127,29610072,29618248,29635485,29653035,	29608823,29610200,29618510,29635734,29653475,
alg11	NM_001281826	chr1	-	29750950	29758947	29752234	29758902	5	29750950,29754451,29756930,29757979,29758855,	29752518,29755029,29757302,29758114,29758947,
pcca	NM_001002746	chr1	+	29862084	29953746	29862108	29952901	23	29862084,29864188,29868688,29868943,29872626,29873153,29891844,29896579,29896710,29899601,29900632,29900873,29906445,29907974,29909448,29909592,29909747,29913648,29916115,29924201,29939963,29945718,29952832,	29862162,29864260,29868736,29869012,29872740,29873207,29891976,29896616,29896789,29899704,29900727,29901024,29906589,29908049,29909517,29909668,29909961,29913751,29916214,29924255,29940104,29945796,29953746,
dachc	NM_001045236	chr1	-	30585510	30689004	30585809	30688740	11	30585510,30589244,30594101,30606150,30606389,30618479,30619515,30621933,30640964,30649078,30688237,	30585847,30589310,30594245,30606298,30606535,30618614,30619651,30622106,30641090,30649194,30689004,
itga6b	NM_001013448	chr1	+	31019190	31064706	31019241	31063787	25	31019190,31034218,31034422,31036515,31038366,31041312,31042049,31042376,31042553,31043223,31043402,31043566,31050741,31052321,31052973,31053504,31054406,31054706,31054873,31056950,31057244,31059976,31061322,31061544,31063622,	31019414,31034346,31034502,31036777,31038498,31041526,31042243,31042465,31042681,31043319,31043464,31043730,31050888,31052437,31053127,31053585,31054489,31054784,31054976,31057124,31057343,31060087,31061421,31061670,31064706,
pudp	NM_001020615	chr1	+	32341733	32385665	32341797	32385227	4	32341733,32342090,32342484,32385050,	32341816,32342309,32342714,32385665,
nt5c2b	NM_001079966	chr1	-	31809184	31856677	31809333	31853545	18	31809184,31813210,31814769,31817554,31818185,31818781,31821145,31821337,31823455,31823622,31830281,31831039,31833910,31834088,31834294,31846909,31853441,31856498,	31809570,31813387,31814830,31817606,31818356,31818848,31821253,31821379,31823539,31823676,31830375,31831097,31834002,31834184,31834412,31846983,31853565,31856677,
slc2a15b	NM_001020494	chr1	+	31573244	31598417	31573354	31598207	12	31573244,31576725,31578669,31579299,31583377,31585544,31593215,31593497,31594644,31595823,31596268,31597949,	31573396,31576824,31578830,31579424,31583523,31585677,31593403,31593608,31594746,31595899,31596396,31598417,
as3mt	NM_001039839	chr1	+	31706676	31722868	31706685	31722729	11	31706676,31706959,31707173,31709459,31711806,31712119,31712301,31712832,31715624,31716381,31722624,	31706702,31706996,31707301,31709610,31711943,31712189,31712383,31712964,31715767,31716513,31722868,
nlgn4xa	NM_001166331	chr1	+	32528096	32691706	32528096	32691706	5	32528096,32577144,32655190,32668687,32690817,	32528559,32577297,32655376,32669477,32691706,
dhrsx	NM_001256719	chr1	+	33401773	33485934	33401841	33484068	7	33401773,33403985,33409551,33449245,33457644,33468185,33483891,	33401944,33404093,33409620,33449347,33457852,33468393,33485934,
arl13b	NM_173272	chr1	+	33668257	33694795	33668787	33693755	10	33668257,33679401,33679575,33682817,33683101,33686461,33687102,33687431,33690720,33693678,	33668846,33679472,33679825,33682923,33683304,33686576,33687256,33687551,33690789,33694795,
arl6	NM_001008733	chr1	+	34203924	34232792	34225255	34232238	8	34203924,34225232,34225490,34226135,34226307,34226505,34230225,34232212,	34203945,34225378,34225552,34226204,34226402,34226635,34230281,34232792,
gab1	NM_001326713	chr1	+	35494784	35609659	35495417	35607920	12	35494784,35495367,35561940,35577264,35582804,35586546,35587249,35590552,35597522,35598136,35601002,35607764,	35495277,35495489,35562238,35577490,35583448,35586641,35587553,35590636,35597616,35598260,35601128,35609659,
pou4f2	NM_212807	chr1	+	36436935	36438731	36437206	36438664	2	36436935,36437731,	36437428,36438731,
smad1	NM_131356	chr1	-	35897042	35928980	35898416	35915782	7	35897042,35902128,35902997,35907791,35908334,35915382,35928892,	35898560,35902385,35903219,35907908,35908613,35915962,35928980,
arhgap10	NM_001045250	chr1	+	36772075	36912619	36772347	36911560	23	36772075,36823212,36823501,36830098,36830610,36836294,36838657,36840787,36841029,36841226,36842654,36844701,36844826,36845220,36856263,36857052,36860188,36867076,36878310,36887800,36903123,36908049,36911471,	36772501,36823308,36823563,36830170,36830712,36836405,36838762,36840917,36841136,36841321,36842736,36844741,36844895,36845295,36856348,36857111,36860294,36867236,36878449,36887960,36903228,36908141,36912619,
dclk2a	NM_001145788	chr1	+	37196105	37304656	37196260	37304277	18	37196105,37212047,37245616,37259360,37260429,37265186,37274930,37275435,37279693,37282144,37282664,37284262,37284498,37287278,37288866,37291875,37300460,37304260,	37196657,37212388,37245746,37259468,37260486,37265281,37275015,37275541,37279751,37282264,37282811,37284396,37284576,37287375,37288947,37291989,37300473,37304656,
nr3c2	NM_001100403	chr1	-	36935153	37087966	36935447	37084401	9	36935153,36938203,36952870,36957300,36963235,36969065,37000379,37082638,37087653,	36935603,36938361,36953001,36957445,36963550,36969182,37000507,37084421,37087966,
dclk2a	NM_001145787	chr1	+	37196105	37304656	37196260	37304545	16	37196105,37212047,37245616,37259360,37265186,37274930,37275435,37279693,37282144,37282664,37284262,37284498,37287278,37288866,37291875,37304260,	37196657,37212388,37245746,37259468,37265281,37275015,37275541,37279751,37282264,37282811,37284396,37284576,37287375,37288947,37291989,37304656,
