chrom	circRNA_start	circRNA_end	strand	exonCount	exonSizes	exonOffsets	circType	geneName	isoformName	exonIndexOrIntronIndex	FlankingIntrons	CircularJunctionCount_Sample_1	LinearJunctionCount_Sample_1	CircularJunctionCount_Sample_2	LinearJunctionCount_Sample_2	PBI_Sample_1	PBI_Sample_2	deltaPBI(PBI_1-PBI_2)	pValue	FDR
chr7	30699477	30735182	+	12	81,58,13,10,7,15,19,299,76,102,117,167,	0,8553,8612,8626,8637,8645,8662,15026,28000,29186,32123,35538,	circRNA	Anks1b	NM_001271371	2,3,4,5,6,7,8,9,10,11,12,13	chr7:30507268-30699477|30735182-30824947	4	23	16	15	0.25806451612903225	0.6808510638297872	-0.42278654770075497	0.0004337287670459781	0.126696992063
chr6	145572321	145594269	+	9	79,145,98,19,79,150,98,123,179,	0,5016,6096,9185,10112,12487,16952,19705,21769,	circRNA	Rapgef5	NM_001047915	2,3,4,5,6,7,8,9,10	chr6:145546970-145572321|145594269-145605282	2	172	10	145	0.022727272727272728	0.12121212121212122	-0.09848484848484848	0.0004510830116807942	0.128538761481
chr1	126157741	126175337	-	13	167,228,98,870,240,351,101,211,83,96,185,220,109,	0,4690,6129,6335,7891,8457,11679,12072,12771,15506,15714,16168,17487,	circRNA	Tjp1	NM_001106266	5,6,7,8,9,10,11,12,13,14,15,16,17	chr1:126153598-126157741|126175337-126177860	3	24	1	135	0.2	0.014598540145985401	0.1854014598540146	0.0004595908550468724	0.128538761481
chr10	57634022	57634588	-	2	171,228,	0,338,	circRNA	Dhx33	NM_001105802	9,10	chr10:57630601-57634022|57634588-57635704	7	2	5	21	0.875	0.3225806451612903	0.5524193548387097	0.0005086125456384076	0.1349210112
chr17	5546406	5564210	+	5	209,178,98,117,692,	0,1615,9084,13250,17112,	circRNA	Agtpbp1	NM_001106100	11,12,13,14,15	chr17:5543087-5546406|5564210-5569746	3	136	2	968	0.04225352112676056	0.00411522633744856	0.038138294789312	0.0005265357166194632	0.1349210112
chr10	16706377	16730140	-	7	123,74,190,195,1090,126,195,	0,1205,3612,5495,17684,21358,23568,	circRNA	Crebrf	NM_001277157	2,3,4,5,6,7,8	chr10:16699206-16706377|16730140-16752154	22	45	17	98	0.4943820224719101	0.25757575757575757	0.23680626489615253	0.0005266731347855767	0.1349210112
chr10	7011438	7014978	+	7	102,106,93,68,101,154,68,	0,282,1117,1293,1995,2898,3472,	circRNA	Usp7	NM_001024790	17,18,19,20,21,22,23	chr10:7010964-7011438|7014978-7015585	5	89	2	263	0.10101010101010101	0.0149812734082397	0.08602882760186131	0.0005295734666584061	0.1349210112
chr19	41772880	41790468	-	3	134,127,163,	0,17287,17425,	circRNA	Phlpp2	NM_001109131	17,18,19	chr19:41766315-41772880|41790468-41798281	1	71	9	69	0.0273972602739726	0.20689655172413793	-0.17949929145016533	0.0005337308925385983	0.1349210112
chr2	189364001	189369293	-	5	55,190,173,278,199,	0,747,2723,3066,5093,	circRNA	Atp8b2	NM_001024798	13,14,15,16,17	chr2:189362600-189364001|189369293-189373839	9	35	4	78	0.33962264150943394	0.09302325581395349	0.24659938569548046	0.0005666714086373738	0.140072201571
chr19	34249086	34298610	+	8	130,107,95,82,46,66,75,88,	0,2489,4000,17632,20982,22993,43122,49436,	circRNA	Arhgap10	NM_001109501	8,9,10,11,12,13,14,15	chr19:34241861-34249086|34298610-34305790	7	100	1	131	0.12280701754385964	0.015037593984962405	0.10776942355889724	0.0005754202270710379	0.140072201571
chr16	19142486	19176423	+	20	42,90,48,96,63,126,60,234,158,157,86,73,162,198,72,124,51,137,61,83,	0,460,1158,4816,5525,9348,12755,15010,17071,19173,19568,20775,21214,21814,23096,28472,29286,30190,33111,33854,	circRNA	Eps15l1	NM_001029921	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	chr16:19127819-19142486|19176423-19186222	6	7	2	25	0.631578947368421	0.13793103448275862	0.4936479128856624	0.0006069603882179356	0.145063532784
chr10	1484235	1485251	+	2	205,170,	0,846,	circRNA	Bfar	NM_001013125	3,4	chr10:1480778-1484235|1485251-1487733	5	37	1	81	0.2127659574468085	0.024096385542168676	0.18866957190463984	0.0006633929697307442	0.155719653341
chr9	94928476	94937738	+	4	105,61,45,194,	0,4738,7345,9068,	circRNA	Sag	NM_013023	2,3,4,5	chr9:94927163-94928476|94937738-94940124	10	1906	12	6749	0.010384215991692628	0.0035434814705448104	0.006840734521147817	0.0007067107639735114	0.16297742092
chr15	93822557	93855455	-	12	82,120,108,102,146,205,159,165,205,77,139,74,	0,2650,10036,16594,17186,23080,25655,28019,29332,30277,31718,32824,	circRNA	Mycbp2	NM_001106055	64,65,66,67,68,69,70,71,72,73,74,75	chr15:93815083-93822557|93855455-93859346	6	5	4	30	0.7058823529411765	0.21052631578947367	0.49535603715170284	0.0007290071766711363	0.16522067823
chr2	188163292	188192757	+	11	120,171,193,102,41,24,104,199,87,169,145,	0,492,5364,10660,11564,16989,21248,25465,26081,28116,29320,	circRNA	Gon4l	NM_001024797	9,10,11,12,13,14,15,16,17,18,19	chr2:188162181-188163292|188192757-188194306	9	30	6	88	0.375	0.12	0.255	0.0007735810877953185	0.172351244052
chr5	99465649	99474162	-	3	93,105,199,	0,2597,8314,	circRNA	Mpdz	NM_019196	24,25,26	chr5:99460674-99465649|99474162-99483514	5	34	23	40	0.22727272727272727	0.5348837209302325	-0.3076109936575052	0.0008052973620275172	0.176427230398
chr17	5546406	5606503	+	16	209,178,98,117,692,84,87,149,88,145,154,181,130,132,177,161,	0,1615,9084,13250,17112,23340,24652,24820,36449,41419,43059,44106,45054,51845,57692,59936,	circRNA	Agtpbp1	NM_001106100	11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26	chr17:5543087-5546406|5606503-5613741	4	136	5	968	0.05555555555555555	0.010224948875255624	0.04533060668029993	0.0008629934195498697	0.181639790662
chr7	133457253	133472636	+	4	132,33,133,173,	0,3687,11836,15210,	circRNA	Cntn1	NM_057118	2,3,4,5	chr7:133400543-133457253|133472636-133474559	5	5	1	18	0.6666666666666666	0.1	0.5666666666666667	0.0008679890198571047	0.181639790662
chr4	2146458	2176632	-	7	67,91,74,78,77,81,73,	0,1327,1630,4696,5327,9908,30101,	circRNA	Lmbr1	NM_001191858	3,4,5,6,7,8,9	chr4:2119339-2146458|2176632-2186178	5	39	1	81	0.20408163265306123	0.024096385542168676	0.17998524711089256	0.0008732678469651083	0.181639790662
chr5	166001129	166003527	-	2	72,240,	0,2158,	circRNA	Kif1b	NM_057200	6,7	chr5:165999314-166001129|166003527-166003703	4	81	2	315	0.0898876404494382	0.012539184952978056	0.07734845549646015	0.0008900412051416364	0.181639790662
chr5	78314027	78320896	-	4	75,133,147,97,	0,1502,2068,6772,	circRNA	Wdr31	NM_001011976	7,8,9,10	chr5:78312728-78314027|78320896-78324219	3	107	11	83	0.05309734513274336	0.20952380952380953	-0.15642646439106617	0.0008981807830386262	0.181639790662
chr15	70222193	70373820	-	16	115,309,105,65,119,117,119,107,110,137,70,75,131,105,180,33,	0,835,4000,11418,15176,19171,20154,20550,31055,33825,38170,38324,66492,109147,127610,151594,	circRNA	Diaph3	NM_001305172	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	chr15:70185478-70222193|70373820-70399807	4	169	15	171	0.04519774011299435	0.14925373134328357	-0.10405599123028922	0.0009193555779149149	0.182581936376
chr4	58748815	58780524	+	15	113,213,2,18,33,25,29,3,9,37,13,12,23,5,130,	0,16525,27886,27889,27908,27942,27968,27997,28001,28010,28059,28072,28084,28108,31579,	circRNA	Mkln1	NM_031359	9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	chr4:58739890-58748815|58780524-58793446	5	141	2	374	0.06622516556291391	0.010582010582010581	0.05564315498090333	0.0009306192268672104	0.182581936376
chr14	71861196	71877488	+	7	216,96,187,183,126,149,698,	0,3191,5527,8938,11431,13561,15594,	circRNA	Fbxl5	NM_001107222	2,3,4,5,6,7,8	chr14:71852799-71861196|71877488-71884727	85	44	129	129	0.794392523364486	0.6666666666666666	0.12772585669781933	0.0009669068196235093	0.186911619764
chr6	54570722	54585265	+	7	108,111,162,72,146,69,113,	0,1494,5398,6676,12203,12585,14430,	circRNA	Snx13	NM_001108708	16,17,18,19,20,21,22	chr6:54567107-54570722|54585265-54588305	7	85	1	111	0.1414141414141414	0.017699115044247787	0.12371502636989362	0.0010243597285093874	0.192731940953
chr9	65895470	65898513	-	4	91,74,192,124,	0,1098,2499,2919,	circRNA	Tmem237	NM_001108220	3,4,5,6	chr9:65889361-65895470|65898513-65901669	8	125	23	131	0.11347517730496454	0.2598870056497175	-0.14641182834475297	0.0010263397388146991	0.192731940953
chr8	49754716	49757732	+	2	318,147,	0,2869,	circRNA	Dscaml1	NM_001108141	2,3	chr8:49738017-49754716|49757732-49964759	8	59	15	32	0.21333333333333335	0.4838709677419355	-0.2705376344086021	0.0010629321282402448	0.196792152475
chr10	39850822	39855986	+	9	147,29,89,10,6,8,28,1417,169,	0,1087,1118,1208,1219,1226,1235,2626,4995,	circRNA	Fnip1	NM_001271163	12,13,14,15,16,17,18,19,20	chr10:39847000-39850822|39855986-39861947	6	74	3	192	0.13953488372093023	0.030303030303030304	0.10923185341789993	0.001095867286603893	0.2000718817
chr2	128619073	128668115	-	8	71,66,123,136,56,73,59,68,	0,5532,7292,17433,23706,34140,34701,48974,	circRNA	Sclt1	NM_153740	13,14,15,16,17,18,19,20	chr2:128603024-128619073|128668115-128675167	1	115	7	92	0.017094017094017096	0.1320754716981132	-0.11498145460409612	0.0011179059441317764	0.201299638844
chr9	94928476	94944717	+	8	105,61,45,194,60,77,136,85,	0,4738,7345,9068,11648,14456,15736,16156,	circRNA	Sag	NM_013023	2,3,4,5,6,7,8,9	chr9:94927163-94928476|94944717-94948510	11	1906	15	6749	0.011410788381742738	0.004425431479569258	0.00698535690217348	0.0011420663017124226	0.202871101838
chr18	56560989	56572913	+	3	141,75,65,	0,4104,11859,	circRNA	Pde6a	NM_001107386	4,5,6	chr18:56559830-56560989|56572913-56577343	33	971	27	1465	0.06364513018322084	0.03554970375246873	0.028095426430752107	0.0011602487347887104	0.203352928251
chr8	122172477	122174075	+	2	194,129,	0,1469,	circRNA	Clasp2	NM_053722	29,30	chr8:122170201-122172477|122174075-122175807	9	467	3	676	0.03711340206185567	0.008797653958944282	0.02831574810291139	0.0011895974994834476	0.205753409615
chr17	5543049	5598383	+	15	38,209,178,98,117,692,84,87,149,88,145,154,181,130,132,	0,3357,4972,12441,16607,20469,26697,28009,28177,39806,44776,46416,47463,48411,55202,	circRNA	Agtpbp1	NM_001106100	10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	chr17:5537540-5543049|5598383-5604098	3	167	1	680	0.03468208092485549	0.002932551319648094	0.0317495296052074	0.001239124496611527	0.21153625335
chr6	129622878	129627906	+	2	67,82,	0,4946,	circRNA	Papola	NM_001108056	3,4	chr6:129621756-129622878|129627906-129629702	6	320	1	472	0.03614457831325301	0.004219409282700422	0.03192516903055259	0.0013075067923106662	0.218879015783
chr8	117529364	117540075	+	4	154,102,75,66,	0,6477,6727,10645,	circRNA	Prkar2a	NM_019264	6,7,8,9	chr8:117524775-117529364|117540075-117544015	4	67	1	172	0.10666666666666667	0.011494252873563218	0.09517241379310346	0.001315649184924166	0.218879015783
chr1	201442092	201451005	+	3	161,57,46,	0,5837,8867,	circRNA	Plekha1	NM_001079894	2,3,4	chr1:201429876-201442092|201451005-201457700	9	11	5	33	0.6206896551724138	0.23255813953488372	0.3881315156375301	0.0013320898640266936	0.218879015783
chr10	38712830	38720071	+	3	127,780,45,	0,3848,7196,	circRNA	Aff4	NM_001107001	2,3,4	chr10:38692519-38712830|38720071-38724976	18	6	13	23	0.8571428571428571	0.5306122448979592	0.3265306122448979	0.0013613428790147214	0.220924100551
chr1	175171302	175218889	-	8	69,150,110,205,99,129,114,78,	0,29111,30820,36890,44003,46155,46678,47509,	circRNA	Sbf2	NM_001134970	25,26,27,28,29,30,31,32	chr1:175019571-175171302|175218889-175225209	5	32	1	62	0.23809523809523808	0.03125	0.20684523809523808	0.0014773996872061961	0.236834376687
chr17	5555490	5564210	+	3	98,117,692,	0,4166,8028,	circRNA	Agtpbp1	NM_001106100	13,14,15	chr17:5548199-5555490|5564210-5569746	2	164	1	1374	0.023809523809523808	0.0014534883720930232	0.022356035437430786	0.0017045179750804888	0.269950467258
chr17	87758881	87771508	-	5	1894,30,55,79,93,	0,3173,8234,10996,12534,	circRNA	Arhgap21	NM_001191693	18,19,20,21,22	chr17:87750199-87758881|87771508-87795319	10	6	6	22	0.7692307692307693	0.35294117647058826	0.416289592760181	0.0017954800927729153	0.27802403818
chr2	188326830	188330330	+	2	180,95,	0,3405,	circRNA	Ash1l	NM_001107689	6,7	chr2:188309036-188326830|188330330-188339641	4	129	1	303	0.058394160583941604	0.006557377049180328	0.051836783534761274	0.0017977971278271612	0.27802403818
chr16	7464233	7469429	+	6	100,136,76,146,63,131,	0,1010,1762,3611,4614,5065,	circRNA	Capn7	NM_001030037	14,15,16,17,18,19	chr16:7463395-7464233|7469429-7470542	10	93	4	140	0.17699115044247787	0.05405405405405406	0.12293709638842382	0.0020757416646046342	0.317274699782
chr17	5429864	5452479	-	11	107,60,179,115,84,51,44,67,168,75,115,	0,3068,6715,9717,10509,11139,11835,11954,19885,21103,22500,	circRNA	Naa35	NM_133324	10,11,12,13,14,15,16,17,18,19,20	chr17:5421904-5429864|5452479-5455172	2	53	2	645	0.07017543859649122	0.0061633281972265025	0.06401211039926472	0.0021010094694755175	0.317445626164
chr5	90854403	90892934	+	5	115,194,50,104,138,	0,16441,26164,30937,38393,	circRNA	Kdm4c	NM_001106663	3,4,5,6,7	chr5:90818911-90854403|90892934-90916007	7	239	17	215	0.05533596837944664	0.13654618473895583	-0.08121021635950919	0.0022243445556013337	0.332261467993
chr18	69654504	69657373	-	3	30,175,377,	0,637,2492,	circRNA	Smad4	NM_019275	11,12,13	chr18:69647714-69654504|None	19	160	12	237	0.1919191919191919	0.09195402298850575	0.09996516893068616	0.002324932546912762	0.343384700328
chr5	12462302	12482389	-	8	81,63,69,63,116,246,212,194,	0,188,2129,2878,5287,10817,18620,19893,	circRNA	St18	NM_153310	6,7,8,9,10,11,12,13	chr5:12454087-12462302|12482389-12489916	3	4	1	24	0.6	0.07692307692307693	0.523076923076923	0.0023600197486214496	0.344693995507
chr1	255942366	255958835	-	5	83,123,103,104,81,	0,2402,5530,14217,16388,	circRNA	Ide	NM_013159	12,13,14,15,16	chr1:255937965-255942366|255958835-255960274	3	61	2	321	0.08955223880597014	0.012307692307692308	0.07724454649827783	0.002416890802087414	0.349121204324
chr6	122817285	122823869	-	4	142,128,112,203,	0,4224,5315,6381,	circRNA	Eml5	NM_001003402	23,24,25,26	chr6:122812119-122817285|122823869-122837680	3	62	17	89	0.08823529411764706	0.2764227642276423	-0.1881874701099952	0.002616803193851574	0.373889978078
